date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2021-04-23,103440,108636,102496,108164,639572,0,5.0462,0,0
2021-04-26,109581,117138,109581,117138,1416097,0,8.2967,0,0
2021-04-27,114776,115249,110998,111943,1011527,0,-4.4349,0,0
2021-04-28,113832,119500,109581,119500,1380617,0,6.7508,0,0
2021-04-29,0,0,0,119500,0,0,0.0,0,0
2021-04-30,0,0,0,119500,0,0,0.0,0,0
2021-05-03,0,0,0,119500,0,0,0.0,0,0
2021-05-04,0,0,0,119500,0,0,0.0,0,0
2021-05-06,0,0,0,119500,0,0,0.0,0,0
2021-05-07,0,0,0,119500,0,0,0.0,0,0
2021-05-10,0,0,0,119500,0,0,0.0,0,0
2021-05-11,0,0,0,119500,0,0,0.0,0,0
2021-05-12,0,0,0,119500,0,0,0.0,0,0
2021-05-13,0,0,0,119500,0,0,0.0,0,0
2021-05-14,0,0,0,119500,0,0,0.0,0,0
2021-05-17,0,0,0,119500,0,0,0.0,0,0
2021-05-18,0,0,0,119500,0,0,0.0,0,0
2021-05-20,0,0,0,119500,0,0,0.0,0,0
2021-05-21,0,0,0,119500,0,0,0.0,0,0
2021-05-24,0,0,0,119500,0,0,0.0,0,0
2021-05-25,0,0,0,119500,0,0,0.0,0,0
2021-05-26,0,0,0,119500,0,0,0.0,0,0
2021-05-27,119500,122500,107500,108500,1781390,0,-9.205,0,0
2021-05-28,109000,112500,107000,107000,768596,0,-1.3825,0,0
2021-05-31,106500,106500,100000,101000,1061671,0,-5.6075,0,0
2021-06-01,101000,103000,99700,101000,537456,0,0.0,0,0
2021-06-02,101000,101500,99800,100500,436935,0,-0.495,0,0
2021-06-03,99900,102000,99700,102000,337519,0,1.4925,0,0
2021-06-04,100500,101000,99700,99800,415150,0,-2.1569,0,0
2021-06-07,100500,101500,99800,99900,504874,0,0.1002,0,0
2021-06-08,99900,100000,99200,99400,364665,0,-0.5005,0,0
2021-06-09,99600,99900,97900,97900,353173,0,-1.5091,0,0
2021-06-10,98000,98800,96500,98100,466952,0,0.2043,0,0
2021-06-11,98400,99200,97700,98000,327340,0,-0.1019,0,0
2021-06-14,98000,98800,97500,98100,237584,0,0.102,0,0
2021-06-15,98300,99900,98300,99100,272516,0,1.0194,0,0
2021-06-16,99200,102000,98600,102000,434819,0,2.9263,0,0
2021-06-17,101500,104000,100500,104000,372922,0,1.9608,0,0
2021-06-18,104000,105000,102500,103500,380755,0,-0.4808,0,0
2021-06-21,102500,105000,101000,104000,333781,0,0.4831,0,0
2021-06-22,105000,105500,103000,104500,265848,0,0.4808,0,0
2021-06-23,104500,105500,102000,104500,311745,0,0.0,0,0
2021-06-24,103500,105500,103500,105500,241454,0,0.9569,0,0
2021-06-25,105500,107000,105000,106500,209482,0,0.9479,0,0
2021-06-28,106500,106500,103500,104500,282094,0,-1.8779,0,0
2021-06-29,104000,104500,102000,102000,1431484,0,-2.3923,0,0
2021-06-30,102500,104000,102000,102500,325041,0,0.4902,0,0
2021-07-01,102000,102500,100000,100500,369063,0,-1.9512,0,0
2021-07-02,100500,101500,99700,99800,421835,0,-0.6965,0,0
2021-07-05,100500,101500,99900,100000,297041,0,0.2004,0,0
2021-07-06,99900,101500,99800,100000,348549,0,0.0,0,0
2021-07-07,100000,100500,99400,100000,330938,0,0.0,0,0
2021-07-08,100500,100500,97800,98400,479483,0,-1.6,0,0
2021-07-09,97700,99100,96500,97100,392489,0,-1.3211,0,0
2021-07-12,97400,98200,97400,98000,230253,0,0.9269,0,0
2021-07-13,98600,100500,98600,100000,290228,0,2.0408,0,0
2021-07-14,99600,100500,99000,100500,296015,0,0.5,0,0
2021-07-15,100500,101000,99000,99400,358809,0,-1.0945,0,0
2021-07-16,98600,99200,98100,98800,294081,0,-0.6036,0,0
2021-07-19,97800,98100,97000,97000,307409,0,-1.8219,0,0
2021-07-20,95800,97500,95700,97400,223970,0,0.4124,0,0
2021-07-21,97500,97900,96600,96800,179420,0,-0.616,0,0
2021-07-22,97000,97900,96800,97800,231929,0,1.0331,0,0
2021-07-23,97800,98500,97400,97800,207660,0,0.0,0,0
2021-07-26,97700,97800,96500,96500,185934,0,-1.3292,0,0
2021-07-27,96800,97900,96200,96500,200704,0,0.0,0,0
2021-07-28,96200,96800,95100,95900,220621,0,-0.6218,0,0
2021-07-29,96000,97000,95900,96400,179785,0,0.5214,0,0
2021-07-30,95800,96000,94200,94200,417326,0,-2.2822,0,0
2021-08-02,94500,94900,92600,94800,283802,0,0.6369,0,0
2021-08-03,95500,95900,94100,95900,260635,0,1.1603,0,0
2021-08-04,95300,95900,94700,95600,242823,0,-0.3128,0,0
2021-08-05,95400,96900,95200,95500,179356,0,-0.1046,0,0
2021-08-06,95500,96100,94800,94800,162449,0,-0.733,0,0
2021-08-09,94200,95200,93500,94800,235229,0,0.0,0,0
2021-08-10,95000,95300,93900,94400,166997,0,-0.4219,0,0
2021-08-11,94100,95500,94000,94700,234818,0,0.3178,0,0
2021-08-12,95500,96500,94400,94900,368061,0,0.2112,0,0
2021-08-13,95100,95600,93300,94000,356132,0,-0.9484,0,0
2021-08-17,94700,97300,94200,95300,456696,0,1.383,0,0
2021-08-18,95900,97700,95500,97600,328522,0,2.4134,0,0
2021-08-19,96300,96600,94500,95100,351197,0,-2.5615,0,0
2021-08-20,95600,97000,93500,94300,377965,0,-0.8412,0,0
2021-08-23,93600,93600,88000,89500,537301,0,-5.0901,0,0
2021-08-24,90100,93500,89700,93300,277320,0,4.2458,0,0
2021-08-25,92600,94700,92500,93800,209420,0,0.5359,0,0
2021-08-26,93100,94900,92600,92700,157771,0,-1.1727,0,0
2021-08-27,93200,94400,92800,93300,173882,0,0.6472,0,0
2021-08-30,93800,94900,93500,94100,104078,0,0.8574,0,0
2021-08-31,93100,95300,92500,95300,380558,0,1.2752,0,0
2021-09-01,94200,95300,93700,94300,193825,0,-1.0493,0,0
2021-09-02,93100,94700,92800,93200,179671,0,-1.1665,0,0
2021-09-03,93100,98200,92900,96400,360938,0,3.4335,0,0
2021-09-06,95100,96300,94600,95300,146255,0,-1.1411,0,0
2021-09-07,94700,94900,93600,94100,137656,0,-1.2592,0,0
2021-09-08,94300,96200,94300,95700,237534,0,1.7003,0,0
2021-09-09,94600,95800,93500,93500,201325,0,-2.2989,0,0
2021-09-10,93600,95300,93500,94400,139153,0,0.9626,0,0
2021-09-13,94300,95600,93400,94800,144676,0,0.4237,0,0
2021-09-14,96200,96900,95500,96600,215211,0,1.8987,0,0
2021-09-15,94600,96700,94600,95700,195045,0,-0.9317,0,0
