date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2025-04-15,49500,50700,49000,50700,267055,0,2.6316,0,0
2025-04-16,50700,51500,50500,50900,279435,0,0.3945,0,0
2025-04-17,50800,51300,50700,50900,152118,0,0.0,0,0
2025-04-18,51000,52100,50550,52000,254235,0,2.1611,0,0
2025-04-21,52000,52400,51800,52200,210245,0,0.3846,0,0
2025-04-22,51800,52300,51800,52200,141863,0,0.0,0,0
2025-04-23,52400,52800,51500,52600,222403,0,0.7663,0,0
2025-04-24,52500,53000,52200,52700,211607,0,0.1901,0,0
2025-04-25,52700,53100,52400,52700,139114,0,0.0,0,0
2025-04-28,53000,55300,52900,54700,1030694,0,3.7951,0,0
2025-04-29,54800,55400,54000,54300,477121,0,-0.7313,0,0
2025-04-30,54200,54200,52400,52600,315561,0,-3.1308,0,0
2025-05-02,52900,53300,52300,52400,212687,0,-0.3802,0,0
2025-05-07,52300,52900,51500,52900,260652,0,0.9542,0,0
2025-05-08,52900,54400,52600,54100,301379,0,2.2684,0,0
2025-05-09,54000,54900,54000,54800,277569,0,1.2939,0,0
2025-05-12,55000,57100,54300,56100,717558,0,2.3723,0,0
2025-05-13,56400,56500,55600,56000,285636,0,-0.1783,0,0
2025-05-14,56100,57000,55800,56600,366182,0,1.0714,0,0
2025-05-15,56600,56700,55200,55500,266163,0,-1.9435,0,0
2025-05-16,55700,56000,54400,55100,239654,0,-0.7207,0,0
2025-05-19,54600,55300,54100,54700,155191,0,-0.726,0,0
2025-05-20,55500,55500,52600,52800,307992,0,-3.4735,0,0
2025-05-21,52500,53700,52500,53200,156131,0,0.7576,0,0
2025-05-22,52600,53000,51700,52400,179864,0,-1.5038,0,0
2025-05-23,52300,52600,51500,51700,148536,0,-1.3359,0,0
2025-05-26,51400,52300,51300,52100,138736,0,0.7737,0,0
2025-05-27,52300,53100,51000,51400,230416,0,-1.3436,0,0
2025-05-28,51600,51900,50700,50900,293556,0,-0.9728,0,0
2025-05-29,51100,51300,50300,50900,252356,0,0.0,0,0
2025-05-30,50700,50900,50200,50200,182337,0,-1.3752,0,0
2025-06-02,50200,50500,49600,50400,143323,0,0.3984,0,0
2025-06-04,50600,51300,50600,51200,210224,0,1.5873,0,0
2025-06-05,51500,52100,51000,51500,268155,0,0.5859,0,0
2025-06-09,52000,53600,51800,53500,382031,0,3.8835,0,0
2025-06-10,53900,54000,52700,53300,297179,0,-0.3738,0,0
2025-06-11,53400,54100,52400,52700,332483,0,-1.1257,0,0
2025-06-12,52800,61600,52700,59000,7645330,0,11.9545,0,0
2025-06-13,59700,64300,58200,63900,7959500,0,8.3051,0,0
2025-06-16,64500,72900,63900,71100,9106850,0,11.2676,0,0
2025-06-17,73800,78000,70700,75200,7428527,0,5.7665,0,0
2025-06-18,74700,81600,73200,80100,5537070,0,6.516,0,0
2025-06-19,81800,81800,77300,81800,943636,0,2.1223,0,0
2025-06-20,81900,89400,81600,89400,1053066,0,9.291,0,0
