date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2022-11-17,17350,17450,16350,16350,7979032,0,-5.2174,0,0
2022-11-18,16450,16700,16200,16300,5738679,0,-0.3058,0,0
2022-11-21,16350,16600,16200,16450,3476157,0,0.9202,0,0
2022-11-22,16400,16950,16350,16850,4999521,0,2.4316,0,0
2022-11-23,17000,17100,16700,16900,3257156,0,0.2967,0,0
2022-11-24,17000,17200,16800,17150,3324916,0,1.4793,0,0
2022-11-25,17250,17450,16850,16950,3817941,0,-1.1662,0,0
2022-11-28,16900,16950,16500,16550,3299209,0,-2.3599,0,0
2022-11-29,16450,16700,16400,16600,2073572,0,0.3021,0,0
2022-11-30,16600,16850,16500,16750,3419935,0,0.9036,0,0
2022-12-01,16950,17050,16700,16750,2790804,0,0.0,0,0
2022-12-02,16750,16750,16100,16150,3972630,0,-3.5821,0,0
2022-12-05,16250,16500,15800,16150,3201044,0,0.0,0,0
2022-12-06,16200,16250,15850,15900,2622275,0,-1.548,0,0
2022-12-07,15750,16100,15650,15950,2371499,0,0.3145,0,0
2022-12-08,15950,16050,15500,15950,4343309,0,0.0,0,0
2022-12-09,15950,16150,15800,16000,2354866,0,0.3135,0,0
2022-12-12,15900,16200,15750,16050,2525210,0,0.3125,0,0
2022-12-13,16300,16750,16050,16050,5146930,0,0.0,0,0
2022-12-14,16200,16400,15950,16350,2971007,0,1.8692,0,0
2022-12-15,16600,17000,16450,16600,7259840,0,1.5291,0,0
2022-12-16,16250,16450,16050,16200,3523031,0,-2.4096,0,0
2022-12-19,15950,16000,15550,15550,3198517,0,-4.0123,0,0
2022-12-20,15550,15800,15300,15500,2608459,0,-0.3215,0,0
2022-12-21,15600,15750,15400,15450,1821977,0,-0.3226,0,0
2022-12-22,15600,15750,15500,15650,1825069,0,1.2945,0,0
2022-12-23,15350,15500,14900,15000,4741720,0,-4.1534,0,0
2022-12-26,15000,15100,14650,14800,2643007,0,-1.3333,0,0
2022-12-27,14800,15050,14800,14850,4755935,0,0.3378,0,0
2022-12-28,14950,15800,14900,15700,7173101,0,5.7239,0,0
2022-12-29,15750,16200,15350,15400,4185941,0,-1.9108,0,0
2023-01-02,15550,15650,15200,15250,2055671,0,-0.974,0,0
2023-01-03,15200,15350,14800,15100,2882312,0,-0.9836,0,0
2023-01-04,14950,15400,14750,15350,2774250,0,1.6556,0,0
2023-01-05,15450,15500,14900,15150,2824340,0,-1.3029,0,0
2023-01-06,14950,15600,14900,15500,3520392,0,2.3102,0,0
2023-01-09,15600,16350,15450,16250,5007477,0,4.8387,0,0
2023-01-10,16500,16600,16150,16400,6079252,0,0.9231,0,0
2023-01-11,16600,16750,16350,16400,3744965,0,0.0,0,0
