date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2017-11-13,48589,48589,47390,48482,13382,0,0.0,0,0
2017-11-14,48589,49243,48044,49026,16220,0,1.1221,0,0
2017-11-15,49243,49461,48698,49135,7473,0,0.2223,0,0
2017-11-16,49133,50006,48589,50006,12826,0,1.7727,0,0
2017-11-17,50872,51305,49573,50872,27780,0,1.7318,0,0
2017-11-20,51088,51521,49356,49790,20197,0,-2.1269,0,0
2017-11-21,50006,50655,49356,49790,9443,0,0.0,0,0
2017-11-22,49356,50222,48491,49573,15268,0,-0.4358,0,0
2017-11-23,49573,51088,48923,51089,15484,0,3.0581,0,0
2017-11-24,49789,50655,49573,50006,26511,0,-2.1198,0,0
2017-11-27,50006,50655,49356,50656,13061,0,1.2998,0,0
2017-11-28,50006,50438,49356,49790,18373,0,-1.7096,0,0
2017-11-29,49356,50222,49356,50006,14956,0,0.4338,0,0
2017-11-30,49789,51305,49356,51089,24802,0,2.1657,0,0
2017-12-01,51954,53686,51305,52821,52944,0,3.3902,0,0
2017-12-04,53253,53253,51737,52604,15500,0,-0.4108,0,0
2017-12-05,52604,52819,51521,52388,22817,0,-0.4106,0,0
2017-12-06,52604,52819,51305,52388,21552,0,0.0,0,0
2017-12-07,51521,51954,50222,50872,23640,0,-2.8938,0,0
2017-12-08,50006,51305,50006,50440,15892,0,-0.8492,0,0
2017-12-11,49789,50006,47407,48708,65777,0,-3.4338,0,0
2017-12-12,49140,49573,48057,48708,27540,0,0.0,0,0
2017-12-13,48491,49573,48274,49141,31420,0,0.889,0,0
2017-12-14,49140,49573,48491,48491,34531,0,-1.3227,0,0
2017-12-15,48491,50006,48491,49573,40641,0,2.2313,0,0
2017-12-18,49356,50006,48491,49790,27808,0,0.4377,0,0
2017-12-19,49573,49573,48491,48708,27737,0,-2.1731,0,0
2017-12-20,48706,49356,48057,48924,14481,0,0.4435,0,0
2017-12-21,48706,49140,47192,48274,31516,0,-1.3286,0,0
2017-12-22,48274,48923,47192,47842,30226,0,-0.8949,0,0
2017-12-26,48274,48274,46542,46759,70361,0,-2.2637,0,0
2017-12-27,45676,48274,44810,47625,75939,0,1.852,0,0
2017-12-28,47624,50006,47192,49357,54769,0,3.6367,0,0
2018-01-02,48923,50222,48706,50006,35901,0,1.3149,0,0
2018-01-03,49789,51088,49356,50656,40536,0,1.2998,0,0
2018-01-04,51088,51521,50222,50656,33800,0,0.0,0,0
2018-01-05,50655,52170,50222,51739,61627,0,2.138,0,0
2018-01-08,51521,52170,50438,50872,66344,0,-1.6757,0,0
2018-01-09,50872,50872,50006,50656,262829,0,-0.4246,0,0
2018-01-10,50655,53686,50222,53470,113420,0,5.5551,0,0
2018-01-11,53036,53469,51521,52171,50990,0,-2.4294,0,0
2018-01-12,52604,52604,51088,52171,28881,0,0.0,0,0
2018-01-15,51305,51737,50438,51305,57083,0,-1.6599,0,0
2018-01-16,50872,51305,49789,50656,36782,0,-1.265,0,0
2018-01-17,50222,50655,48491,50006,41111,0,-1.2832,0,0
2018-01-18,49789,50006,48706,49790,31107,0,-0.4319,0,0
2018-01-19,49789,50438,48706,50006,30242,0,0.4338,0,0
2018-01-22,49356,49789,48706,49141,29857,0,-1.7298,0,0
